id,age,gender,zip_code,race,name,dob
44,66,female,56012,bronze,Karon Greenholt,1954-04-30
45,76,female,56017,gold,Krysten Zieme,1944-06-17
46,75,male,56012,bronze,Claud Senger,1946-01-16
47,90,male,56015,silver,Son Krajcik,1930-11-07
48,67,male,56018,gold,Clinton Wolff,1953-09-17
49,100,female,56015,gold,Gay Terry,1920-10-27
50,101,female,56018,gold,Julie Aufderhar,1919-04-05
51,81,male,56014,bronze,Chase Buckridge,1939-12-03
52,93,female,56020,bronze,Ashely Pollich,1927-12-30
53,86,male,56021,bronze,Hipolito Jacobs,1934-08-30
54,74,female,56013,silver,Lesa Lesch,1946-10-16
55,71,female,56015,gold,Cecily Ruecker,1949-09-03
56,77,female,56014,bronze,Fransisca Lockman,1943-06-22
57,76,male,56014,bronze,Horace Rowe,1945-01-05
58,98,male,56020,silver,Olin Boyle,1923-02-07
59,97,male,56020,bronze,Maximo Sporer,1923-09-07
60,65,female,56019,bronze,Kaylee Dickens,1956-01-27
61,94,female,56020,silver,Audria Spencer,1926-08-24
62,79,female,56017,bronze,Alena Reichert,1942-01-21
63,76,female,56014,bronze,Monique Nader,1944-10-21
64,94,female,56017,bronze,Jodi Glover,1926-11-25
65,92,female,56012,silver,Loyce Tillman,1928-03-14
66,74,male,56016,bronze,Jules Cronin,1947-02-06
67,70,male,56019,bronze,Ike Rohan,1950-05-25
68,98,male,56016,gold,Brady Will,1922-09-12
69,72,male,56014,bronze,Ira Stamm,1949-01-28
70,86,female,56019,silver,Maritza Bernier,1934-11-12
71,82,female,56021,gold,Larry Kuphal,1938-08-10
72,86,male,56019,bronze,Shelby Sanford,1934-06-11
73,79,male,56014,silver,Harley Swaniawski,1941-05-22
74,79,male,56014,gold,Stephen Thompson,1941-11-21
75,99,male,56021,gold,Hoyt Hackett,1921-03-13
76,67,female,56017,silver,Leslee Koss,1953-12-27
77,87,female,56012,silver,Julietta Wyman,1934-02-16
78,99,male,56018,gold,Horace Paucek,1921-05-10
79,81,male,56013,silver,Dana Ankunding,1940-01-13
80,68,female,56016,silver,Carroll Feeney,1952-07-05
81,94,female,56013,silver,Verlie Pacocha,1926-11-22
82,79,male,56013,bronze,Arlen Predovic,1941-06-21
83,87,female,56014,gold,Sylvie Schmeler,1934-03-04
84,101,male,56012,gold,Shaun Legros,1919-09-21
85,96,male,56017,bronze,Logan Schuppe,1924-04-08
86,73,male,56020,silver,Carlo Kuphal,1948-01-02
87,77,male,56017,bronze,Dana Hagenes,1944-01-13
88,104,female,56017,gold,Gussie Kunze,1916-04-09
89,65,male,56019,silver,Robby Parisian,1955-04-04
90,102,male,56017,gold,William Ebert,1918-06-14
91,95,male,56018,silver,Jewell Donnelly,1925-03-24
92,95,male,56020,bronze,Aldo Larson,1925-11-20
93,91,male,56019,gold,Alexander Vandervort,1929-09-07
94,78,female,56018,silver,Katrina Baumbach,1942-03-30
95,103,female,56015,gold,Etsuko Schuster,1917-11-04
96,90,female,56012,bronze,Melissa Armstrong,1931-01-01
97,84,male,56012,bronze,Jeremy Nolan,1936-11-11
98,78,male,56012,bronze,Shelby Casper,1942-08-06
99,97,female,56013,bronze,Dahlia Miller,1924-01-28
100,90,male,56013,silver,Sal Thompson,1931-01-18
101,72,female,56020,silver,Joelle Jast,1949-01-10
102,87,female,56012,bronze,Lashonda Herman,1933-08-26
103,104,female,56014,gold,Patricia Schaefer,1916-06-24
104,93,male,56018,gold,Long Berge,1927-12-08
105,85,male,56014,gold,Noble Nitzsche,1935-12-22
106,99,female,56015,silver,Britni Weimann,1921-12-02
107,96,female,56018,silver,Narcisa Cummerata,1924-08-22
108,91,female,56013,gold,Lien Berge,1929-11-26
109,78,female,56013,silver,Thea Stoltenberg,1943-01-30
110,66,female,56012,silver,Delora Schoen,1954-06-27
111,84,male,56017,silver,Jerrell O'Keefe,1936-11-15
112,71,male,56014,bronze,Marcos Reichel,1950-01-04
113,93,male,56021,silver,Gus Crooks,1928-02-08
114,73,male,56017,silver,Kevin Bahringer,1948-01-18
115,93,female,56015,bronze,Kourtney Hettinger,1927-05-11
116,102,male,56021,bronze,Mervin Schumm,1918-05-05
117,81,female,56016,silver,Audra Bashirian,1940-01-24
118,86,female,56018,bronze,Hester Mayert,1934-07-13
119,86,male,56017,bronze,Sylvester Paucek,1934-07-30
120,94,female,56012,silver,Shawnda Auer,1926-12-11
121,87,male,56019,silver,Tyson Schulist,1933-04-01
122,97,female,56014,silver,Sachiko Borer,1923-04-04
123,95,male,56020,gold,Carlton Ruecker,1926-01-26
124,76,female,56017,gold,Mariette Denesik,1944-12-05
125,92,female,56015,bronze,Kareen McClure,1928-07-10
126,76,male,56018,gold,Emery Cummings,1944-12-24
127,84,female,56019,gold,Mike Mohr,1936-11-22
128,82,male,56015,silver,Arlen Bruen,1938-05-22
129,99,male,56018,bronze,Warren Jacobi,1921-06-03
130,73,female,56021,bronze,Donya Fisher,1947-07-20
131,66,male,56012,silver,Damon Ullrich,1954-06-29
132,96,male,56016,silver,Augustus Hodkiewicz,1924-05-20
133,78,female,56016,bronze,John Hand,1942-10-02
134,95,female,56013,bronze,Refugia Grant,1925-12-09
135,69,female,56016,silver,Marylyn Simonis,1951-08-16
136,102,male,56019,gold,Kendall Cummerata,1918-08-15
137,66,female,56018,gold,Katherine Haag,1954-04-05
138,82,female,56019,gold,Adrian Friesen,1938-07-22
139,98,female,56015,bronze,Lavera Fritsch,1922-12-05
140,65,female,56013,gold,Alita Marquardt,1956-02-26
141,97,male,56015,silver,Rosario Senger,1923-06-23
142,85,male,56013,gold,Virgilio Stroman,1935-10-08
143,101,female,56017,silver,Michell Schroeder,1919-07-14
144,72,male,56015,silver,Charlie Marks,1948-10-30
145,85,male,56012,silver,Stacy Cartwright,1935-05-26
146,79,male,56015,gold,Rickie Schroeder,1941-10-08
147,82,female,56016,silver,Lauretta Feil,1938-06-15
148,71,male,56020,bronze,Christopher Steuber,1950-03-07
149,93,male,56021,gold,Eusebio Renner,1927-08-18
150,86,female,56013,gold,Shenika Hirthe,1935-01-03
151,104,male,56013,gold,Wendell Glover,1916-08-17
152,98,female,56013,gold,Kathrin Ledner,1922-04-10
153,101,male,56014,bronze,Orval Douglas,1920-01-21
154,73,male,56016,gold,Norman Konopelski,1948-01-31
155,68,female,56014,silver,Inga Fahey,1952-05-21
156,104,male,56012,gold,Merrill Shanahan,1916-10-12
157,68,female,56015,bronze,Chelsey Kirlin,1952-12-16
158,87,female,56017,silver,Glynis Ernser,1934-02-28
159,73,male,56019,gold,Clair Lehner,1947-08-03
160,97,male,56015,gold,Reginald Schaefer,1923-11-08
161,94,male,56012,silver,Leo Armstrong,1926-10-31
162,76,female,56013,gold,Margie Harvey,1944-04-07
163,83,male,56021,bronze,Harry Hoppe,1937-10-25
164,86,female,56014,silver,Diedre Swift,1935-02-18
165,102,male,56021,bronze,Wiley Donnelly,1918-08-27
166,74,male,56014,bronze,Mitchel Willms,1946-10-30
167,87,female,56017,silver,Lolita Adams,1933-05-20
168,74,male,56021,gold,Rolando Dietrich,1946-11-15
169,104,male,56018,silver,Derrick Parisian,1916-09-15
170,83,male,56021,silver,Cecil Kerluke,1937-04-22
171,99,female,56014,silver,Lieselotte Hessel,1921-12-14
172,67,male,56012,silver,Noah McGlynn,1953-03-23
173,104,male,56015,silver,Mickey Kilback,1916-07-04
174,76,female,56012,bronze,Twila McKenzie,1944-03-21
175,83,male,56012,bronze,Von Considine,1937-06-01
176,93,female,56021,gold,Patty Klocko,1927-04-04
177,80,male,56016,gold,Seth Cremin,1940-05-15
178,72,male,56021,bronze,Prince Bogan,1948-03-20
179,92,male,56018,bronze,Eloy Auer,1928-11-24
180,104,female,56019,bronze,Michael Wehner,1916-08-03
181,73,male,56016,bronze,Alexander Rohan,1947-10-25
182,76,male,56018,bronze,Elmer Watsica,1945-01-16
183,82,male,56020,bronze,Zackary Batz,1938-11-03
184,93,male,56021,gold,Sherwood Labadie,1927-10-18
185,76,female,56016,gold,Latoria Bernhard,1944-04-05
186,96,female,56013,bronze,Clemencia Heller,1925-02-03
187,65,male,56013,gold,Merle Streich,1956-01-29
188,71,male,56020,gold,Benito Bradtke,1949-04-21
189,103,female,56014,gold,Garnett Rempel,1918-02-16
190,103,male,56014,silver,Dante Torphy,1917-12-03
191,104,female,56016,silver,Russell Bernier,1916-10-07
192,73,male,56016,bronze,Jackie Bechtelar,1947-05-20
193,65,male,56013,silver,Cleveland Turcotte,1955-09-05
194,96,female,56013,silver,Larraine Hyatt,1924-09-03
195,82,female,56017,silver,Georgie Grimes,1938-05-19
196,73,female,56013,gold,Albertha Cruickshank,1947-08-19
197,98,female,56021,bronze,Criselda Cole,1922-10-17
198,82,male,56018,silver,Stuart Beatty,1938-06-06
199,67,male,56012,gold,Alexander Upton,1953-10-26
200,78,female,56017,gold,Carey Grimes,1942-04-29
201,74,male,56013,bronze,Bradley Schultz,1946-07-23
202,102,male,56014,bronze,Tyler Osinski,1919-01-19
203,81,male,56018,silver,Hai Beatty,1939-05-17
204,75,male,56013,silver,Sidney Morissette,1945-11-13
205,93,male,56016,silver,Antwan Simonis,1927-07-12
206,100,female,56020,gold,Felipa Okuneva,1920-09-21
207,89,male,56014,bronze,Daren Moore,1931-04-10
208,97,male,56018,gold,Garrett Mann,1924-01-19
209,86,female,56014,bronze,Blanch Murphy,1934-07-03
210,85,male,56012,bronze,Donnie Tromp,1936-01-06
211,102,female,56021,silver,Hope Powlowski,1919-03-06
212,71,male,56021,bronze,Royce Greenfelder,1949-08-13
213,80,male,56014,bronze,Michale Brekke,1941-02-21
214,103,male,56021,bronze,Ariel Bogan,1917-11-14
215,102,male,56017,bronze,Deshawn Champlin,1918-12-24
216,67,female,56013,bronze,Scottie Bernhard,1953-11-04
217,74,female,56018,bronze,Tatyana Cronin,1946-09-20
218,74,male,56013,bronze,Lucius Lehner,1946-07-03
219,102,male,56012,bronze,Dominick Stoltenberg,1918-08-14
220,84,female,56018,bronze,Shaquita Thompson,1936-06-24
221,93,male,56012,bronze,Luigi Nitzsche,1927-08-28
222,92,male,56016,bronze,Sherman Medhurst,1928-06-20
223,91,male,56019,gold,Donovan Bergstrom,1929-05-05
224,102,female,56020,bronze,Maragret Littel,1918-10-19
225,102,female,56021,bronze,Miesha Stehr,1918-07-12
226,96,male,56020,gold,Ward Nienow,1924-07-22
227,95,male,56018,bronze,Quentin Legros,1926-01-28
228,86,male,56019,gold,Jared Hills,1934-03-28
229,94,male,56021,bronze,Duncan Hammes,1926-08-18
230,87,female,56012,gold,Eileen Carter,1934-01-31
231,76,female,56013,gold,Jasmin Corkery,1944-08-04
232,71,female,56019,silver,Christel Windler,1949-09-27
233,67,female,56020,bronze,Leonida MacGyver,1954-03-04
234,91,female,56016,silver,Jenell Romaguera,1929-10-15
235,95,female,56015,gold,Daine Marvin,1925-08-30
236,86,male,56016,silver,Ike Borer,1934-12-12
237,101,female,56021,silver,Nicki Wilkinson,1919-12-04
238,83,male,56017,silver,Minh Gorczany,1937-08-06
239,74,male,56012,bronze,Carroll Haley,1946-06-24
240,65,female,56019,gold,Dodie Reinger,1955-08-06
241,72,female,56014,gold,Flor Watsica,1948-04-10
242,88,female,56021,silver,Tiara Hintz,1932-04-10
243,83,female,56018,bronze,Renna Ryan,1937-09-21
244,88,female,56013,gold,Louis Gerlach,1932-08-05
245,81,male,56014,silver,Zachary Bradtke,1939-04-06
246,85,male,56015,bronze,Tim Rodriguez,1936-03-08
247,65,female,56018,silver,Carmela Padberg,1955-04-02
248,82,male,56014,gold,Delmer Walsh,1938-08-21
249,75,male,56018,gold,Agustin D'Amore,1946-02-05
250,93,male,56017,bronze,Eliseo Anderson,1927-03-20
251,80,female,56019,silver,Devin Bashirian,1941-01-31
252,78,male,56016,bronze,Elton DuBuque,1942-09-13
253,81,female,56019,bronze,Rebbecca Hintz,1940-02-02
254,86,male,56012,silver,Luis Thiel,1935-01-25
255,93,male,56012,gold,Santiago Kuhlman,1927-08-08
256,86,female,56012,gold,Dorthea Koepp,1934-06-08
257,91,female,56017,gold,Heidi Howe,1929-07-20
258,69,female,56013,bronze,Miesha O'Reilly,1952-03-02
259,65,female,56015,silver,Tanisha Kuvalis,1955-05-04
260,72,male,56012,silver,Josue Krajcik,1948-11-17
261,84,female,56019,bronze,Tamra Ziemann,1936-08-08
262,67,female,56018,bronze,Minh Baumbach,1954-01-24
263,76,female,56018,silver,Dwana Kris,1944-10-16
264,100,female,56015,gold,Corine Franecki,1920-08-29
265,71,male,56018,gold,Allen Gleason,1949-10-06
266,71,female,56019,gold,Theresa D'Amore,1949-12-02
267,90,male,56013,gold,Cordell Rogahn,1930-08-02
268,70,female,56016,bronze,Larita Bernhard,1951-02-06
269,84,female,56012,silver,Lillie Collier,1937-02-16
270,80,female,56012,gold,Karolyn Hagenes,1940-10-01
271,68,female,56021,bronze,Terra Schmeler,1952-09-01
272,97,female,56020,silver,Bambi Walter,1923-12-02
273,88,female,56014,silver,Twila Kshlerin,1932-04-25
274,94,male,56020,silver,Markus Wilderman,1927-01-09
275,72,female,56015,bronze,Galina Jenkins,1948-09-23
276,85,female,56018,silver,Vida Altenwerth,1935-06-22
277,80,female,56014,gold,Ava Klein,1940-10-25
278,87,male,56014,bronze,Lonnie Russel,1933-05-26
279,90,female,56015,bronze,Eleanora Smith,1930-07-02
280,90,female,56015,bronze,Rolanda Brown,1930-08-06
281,75,male,56012,silver,Michal Gislason,1945-08-03
282,104,male,56015,silver,Kip Bradtke,1917-01-14
283,70,female,56020,silver,Retha Ruecker,1950-06-11
284,96,female,56019,silver,Chastity Schumm,1924-03-12
285,91,male,56015,bronze,Miquel Durgan,1930-03-03
286,66,female,56014,silver,Orpha Beatty,1954-08-09
287,74,female,56021,bronze,Rea Casper,1946-11-12
288,90,male,56019,bronze,Sammie Kertzmann,1930-04-04
289,82,female,56021,gold,Julene Dicki,1938-04-17
290,70,male,56013,bronze,Rickie Kertzmann,1950-07-12
291,78,male,56016,bronze,Troy Kozey,1942-03-29
292,78,male,56014,gold,Wilson Lehner,1943-03-04
293,77,male,56019,silver,Vicente Reinger,1943-06-03
294,75,female,56019,gold,Sharita Howell,1945-11-02
295,104,male,56013,bronze,Johnson Langworth,1916-06-01
296,79,female,56012,silver,Shanel Purdy,1941-04-16
297,85,male,56018,gold,Trinidad Ward,1935-06-07
298,83,male,56014,silver,Tracey Cormier,1937-03-09
299,87,male,56013,silver,Alvin Schuster,1934-01-09
300,103,female,56021,bronze,Clarisa Dibbert,1917-08-25
301,96,male,56019,silver,Weldon Ferry,1925-01-29
302,71,female,56021,silver,Rochelle Murray,1949-03-21
303,65,female,56020,bronze,Genna Lind,1955-09-25
304,92,female,56017,gold,Sabra Lueilwitz,1928-08-18
305,65,female,56017,bronze,Cyndi Fisher,1955-05-27
306,92,male,56017,silver,Kermit Wintheiser,1928-12-08
307,102,male,56014,gold,Zachery Torphy,1919-01-12
308,69,female,56012,gold,Kasey Torp,1951-11-07
309,71,female,56012,bronze,Tisha Schneider,1949-09-21
310,74,female,56021,bronze,Zoila Gutmann,1946-08-28
311,101,female,56016,silver,Glayds Vandervort,1920-01-31
312,102,male,56020,gold,Sean McLaughlin,1918-07-26
313,100,female,56015,silver,Loan Witting,1920-06-06
314,97,male,56018,bronze,Houston Klocko,1923-10-23
315,81,male,56012,silver,Minh Bogan,1939-06-17
316,99,male,56014,silver,Deandre Langosh,1921-10-26
317,82,female,56019,silver,Fleta Ernser,1938-03-24
318,77,female,56013,bronze,Hettie Koch,1943-04-07
319,79,male,56016,bronze,Dwayne Marks,1941-12-12
320,81,female,56013,gold,Vella Frami,1939-09-28
321,92,female,56017,gold,Henrietta Nolan,1928-08-17
322,68,female,56014,bronze,Dione Erdman,1952-09-24
323,76,male,56015,gold,Peter Prohaska,1944-03-13
324,71,male,56014,gold,Kris Wuckert,1949-08-17
325,86,male,56017,bronze,Kendall Turner,1934-08-10
326,65,female,56021,bronze,Samatha Bernhard,1955-08-30
327,97,female,56015,bronze,Tomoko DuBuque,1924-02-22
328,93,male,56018,bronze,Deangelo Russel,1927-09-08
329,86,female,56016,bronze,Allyson Wisoky,1935-01-28
330,103,female,56021,silver,Nichelle Collier,1918-01-01
331,67,female,56014,silver,Katelynn Dietrich,1954-03-03
332,99,male,56016,gold,Miguel Gerhold,1921-10-18
333,90,male,56021,bronze,Will Bruen,1931-02-03
334,80,female,56012,silver,Mardell Lynch,1940-06-11
335,94,female,56019,bronze,Margie Braun,1927-03-04
336,73,female,56014,bronze,Malisa Dickens,1947-07-28
337,70,female,56020,silver,Autumn Kerluke,1951-01-25
338,72,female,56019,gold,Daphine Herman,1948-11-15
339,76,male,56021,silver,Earnest Hand,1944-10-19
340,65,female,56014,bronze,Claribel Parisian,1955-05-22
341,67,female,56012,gold,Kay Nader,1953-10-21
342,73,male,56015,silver,Genaro Conn,1947-06-09
343,84,male,56019,silver,Hugo Jakubowski,1936-05-20
344,74,male,56020,gold,Humberto Schiller,1946-05-13
345,69,female,56012,bronze,Louvenia Schamberger,1951-06-21
346,74,female,56013,bronze,Kourtney Fritsch,1946-10-06
347,89,female,56014,gold,Anette Baumbach,1931-05-04
348,101,female,56021,bronze,Bobby Kilback,1919-09-25
349,78,male,56014,bronze,Cornell Kautzer,1942-12-27
350,84,male,56013,bronze,Shane Stanton,1936-10-26
351,97,male,56020,gold,Anton Collins,1923-09-25
352,70,female,56019,bronze,Larry Mann,1950-04-05
353,82,male,56021,silver,Granville Douglas,1938-10-26
354,83,male,56015,silver,Johnathon Medhurst,1937-07-01
355,85,female,56014,gold,Delicia Weissnat,1935-07-24
356,76,female,56018,bronze,Susanna Crist,1944-06-10
357,65,male,56014,silver,Son Hyatt,1955-05-11
358,83,male,56012,gold,Sterling Hegmann,1937-06-01
359,77,male,56019,silver,Lynwood Barrows,1944-03-06
360,88,male,56014,gold,Erick Zemlak,1933-01-05
361,70,male,56021,bronze,Adan Hagenes,1950-07-28
362,87,female,56019,gold,Florida Bernier,1933-08-26
363,67,female,56017,gold,Darcy Herman,1953-04-16
364,82,male,56017,silver,Rigoberto Ziemann,1939-01-26
365,88,male,56021,silver,Young Predovic,1932-07-03
366,84,female,56012,bronze,Hayley Roberts,1936-04-02
367,102,male,56014,bronze,Coy Hessel,1918-11-02
368,95,female,56016,bronze,Candie MacGyver,1925-08-11
369,89,male,56013,silver,Allen Waelchi,1931-04-05
370,93,female,56013,gold,Shala Ziemann,1928-02-01
371,80,female,56019,bronze,Leia Baumbach,1940-07-25
372,73,male,56017,bronze,Cordell Lindgren,1947-11-29
373,87,female,56015,silver,Babara Nicolas,1933-09-27
374,96,male,56019,gold,Gerald Beer,1924-11-17
375,93,male,56015,silver,Elvis Wehner,1927-10-06
376,96,male,56017,bronze,Quinn Lebsack,1924-03-20
377,85,male,56017,gold,Cody Maggio,1935-07-08
378,95,female,56015,gold,Dena Johns,1925-07-28
379,99,male,56017,silver,Donald Goyette,1921-04-20
380,85,female,56018,bronze,Myong Rosenbaum,1935-05-11
381,88,female,56015,silver,Deann Auer,1932-08-13
382,96,female,56018,bronze,Maryln Huels,1924-05-11
383,71,female,56012,bronze,Phylis Quitzon,1949-10-13
384,68,male,56021,gold,Josue Rice,1952-07-30
385,74,male,56014,bronze,Michel Barton,1947-01-21
386,100,female,56017,gold,Lashaun McCullough,1920-09-20
387,100,female,56018,silver,Shawnna Hirthe,1920-04-28
388,67,female,56021,silver,Cameron Kozey,1953-05-21
389,78,female,56014,gold,Cinda Cole,1942-07-27
390,74,female,56012,silver,Aracelis Kunde,1946-09-13
391,93,female,56014,bronze,Felecia Toy,1927-07-18
392,98,female,56020,gold,Earlean Runte,1922-03-27
393,102,male,56016,bronze,Sebastian Thompson,1918-07-22
394,66,male,56021,bronze,Troy Sporer,1955-02-25
395,102,male,56015,gold,Houston Williamson,1918-12-05
396,71,male,56015,bronze,Garry Reichel,1950-02-05
397,89,male,56017,gold,Colton Jacobson,1931-11-10
398,79,female,56015,silver,Yolando White,1941-07-08
399,91,male,56021,silver,Clement Goyette,1929-08-06
400,92,male,56016,silver,Johnnie Corkery,1928-08-28
401,74,male,56019,silver,Hank Farrell,1946-09-09
402,74,female,56013,silver,Sharonda Lebsack,1946-03-09
403,73,female,56015,silver,Nevada Lesch,1947-05-03
404,83,female,56015,silver,Thalia Daniel,1937-06-19
405,66,female,56017,silver,Jenell Harber,1954-05-10
406,100,female,56015,gold,Sina Boyle,1920-10-31
407,77,male,56018,silver,Johnie Strosin,1943-08-09
408,94,male,56016,silver,Delbert Blick,1926-06-20
409,84,male,56019,gold,Edmundo Huel,1936-05-27
410,79,female,56018,silver,Annamae Glover,1941-03-10
411,91,female,56014,bronze,Ima Armstrong,1929-06-16
412,101,male,56018,gold,Grant Schoen,1919-07-23
413,84,female,56013,bronze,Shante Welch,1936-09-19
414,93,male,56017,bronze,Hugo Hane,1927-10-10
415,100,female,56021,silver,Rivka Hilpert,1920-03-28
416,104,male,56014,silver,Burt Heidenreich,1916-06-17
417,86,male,56015,gold,Denis Lemke,1935-01-21
418,93,female,56012,silver,Carlos Pfeffer,1927-06-19
419,89,female,56013,silver,Shawanda Zboncak,1931-03-20
420,81,female,56013,gold,Minda Koss,1939-04-01
421,81,female,56018,bronze,Marine Gorczany,1939-12-26
422,88,male,56017,gold,Odell Bartell,1932-08-16
423,72,male,56021,bronze,Edmundo Schmidt,1948-08-22
424,67,female,56019,silver,Jenette Koepp,1953-04-20
425,97,female,56018,bronze,Gayla Ratke,1923-10-23
426,97,male,56019,bronze,Modesto Wiza,1923-10-27
427,93,female,56021,silver,Taisha Ferry,1927-04-02
428,70,male,56014,gold,Morgan Mraz,1950-06-20
429,87,female,56017,bronze,Marg Koepp,1933-08-15
430,89,male,56014,silver,Arnulfo Paucek,1932-02-15
431,85,male,56021,gold,Jeromy Williamson,1936-01-22
432,96,female,56016,silver,Jay Williamson,1924-08-15
433,99,female,56017,gold,Joellen Kozey,1921-10-12
434,72,female,56016,gold,Luciana Schaefer,1948-11-29
435,89,male,56020,bronze,Hershel Jacobs,1931-06-28
436,70,female,56013,bronze,Evan Feest,1950-03-15
437,80,male,56015,bronze,Lou Gerhold,1940-09-11
438,101,male,56021,silver,Earle Bednar,1919-08-02
439,92,female,56020,silver,Sung Moore,1928-04-05
440,97,female,56018,silver,Phylicia Rutherford,1923-04-02
441,77,male,56016,silver,Javier Dickens,1944-03-01
442,73,female,56016,gold,Lupita Blanda,1947-04-14
443,65,male,56019,silver,Ken Dooley,1955-05-11
444,83,female,56012,gold,Arthur Farrell,1937-08-06
445,95,male,56012,gold,Ward Rath,1925-12-31
446,79,male,56021,silver,Santo Bayer,1941-07-12
447,82,female,56015,silver,Sherri Bartoletti,1938-12-02
448,96,female,56014,bronze,Micah Pacocha,1924-03-15
449,97,male,56014,bronze,Ty Stamm,1924-02-08
450,98,male,56013,bronze,Dominick Miller,1923-01-21
451,72,male,56020,bronze,Buddy Lakin,1949-03-07
452,72,male,56021,gold,Antoine Schaden,1948-08-27
453,70,female,56014,bronze,Herlinda Goldner,1950-12-15
454,69,male,56014,silver,Rayford Runte,1951-11-22
455,78,male,56018,gold,Martin Connelly,1942-05-09
456,74,male,56012,bronze,Norman Jacobs,1946-06-19
457,90,female,56019,silver,Maryanna Moore,1930-11-08
458,66,male,56018,bronze,Les Wehner,1954-04-13
459,73,male,56014,bronze,Jake Kunze,1947-11-28
460,71,female,56018,bronze,Rowena Will,1949-04-06
461,102,male,56021,silver,Bo Roob,1918-08-06
462,78,male,56018,gold,Michel Langworth,1942-03-14
463,90,male,56018,bronze,Wendell Ziemann,1930-06-29
464,83,male,56019,silver,Rudolph Upton,1937-10-30
465,75,female,56020,silver,Thomasina Abshire,1945-12-18
466,102,female,56020,bronze,Karan Heathcote,1918-04-12
467,97,female,56017,bronze,Tammie Zulauf,1924-02-02
468,100,female,56019,gold,Ophelia Leuschke,1920-04-04
469,69,male,56018,bronze,Joshua Mayer,1951-05-23
470,67,female,56018,bronze,Jeane Wunsch,1953-06-08
471,98,male,56019,silver,Hubert O'Hara,1922-04-04
472,69,female,56017,gold,Larisa Schaden,1951-08-18
473,67,male,56021,silver,Jasper Fisher,1954-01-03
474,90,male,56016,bronze,Derek Emmerich,1931-01-24
475,88,female,56020,bronze,Lilia Powlowski,1932-04-10
476,104,female,56012,silver,Beatrice O'Keefe,1916-04-21
477,75,male,56016,silver,Joe Jacobs,1945-07-19
478,83,female,56016,silver,Magan Prohaska,1937-09-05
479,70,male,56016,gold,Rudolf Sawayn,1950-08-28
480,81,female,56012,silver,Annemarie Willms,1939-04-08
481,80,female,56021,gold,Frankie Treutel,1941-01-15
482,73,male,56020,bronze,Edison Lubowitz,1947-11-30
483,78,female,56015,gold,Vita Ward,1942-04-10
484,71,male,56015,gold,Antoine Cruickshank,1949-10-11
485,97,male,56016,bronze,Lupe Borer,1924-03-09
486,87,female,56016,bronze,Lyn Bogan,1933-03-15
487,69,male,56012,silver,Sterling Collier,1952-02-27
488,76,female,56013,silver,Liz O'Conner,1944-07-18
489,80,male,56020,gold,Issac Senger,1941-01-08
490,79,male,56012,silver,Horace Graham,1941-12-10
491,66,female,56020,silver,Carolyne Tremblay,1955-01-21
